state_abbrev,grade,year,gender_female,gender_male,pared_did_not_finish_high_school,pared_graduated_college,pared_graduated_high_school,pared_some_education_after_high_school,pared_unknown,schtype_bureau_of_indian_education,schtype_catholic,schtype_department_of_defense,schtype_other_private,schtype_public,slunch3_eligible,slunch3_information_not_available,slunch3_not_eligible,srace10_american_indian_alaska_native,srace10_asian,srace10_black,srace10_hispanic,srace10_native_hawaiian_other_pacific_islander,srace10_two_or_more_races,srace10_white,FIPS,hh_in_group_quarters,hh_in_households,hh_in_householdsin_family_households,hh_in_householdsin_family_householdsbrother_or_sister,hh_in_householdsin_family_householdschild,hh_in_householdsin_family_householdschildadopted_child,hh_in_householdsin_family_householdschildbiological_child,hh_in_householdsin_family_householdshouseholder,hh_in_householdsin_family_householdshouseholderfemale,hh_in_householdsin_family_householdshouseholdermale,hh_in_householdsin_family_householdsnonrelatives,hh_in_householdsin_family_householdsnonrelativesfoster_child,hh_in_householdsin_family_householdsnonrelativeshousemate_or_roommate,hh_in_householdsin_family_householdsnonrelativesother_nonrelatives,hh_in_householdsin_family_householdsnonrelativesroomer_or_boarder,hh_in_householdsin_family_householdsnonrelativesunmarried_partner,hh_in_householdsin_family_householdsother_relatives,hh_in_householdsin_family_householdsparent,hh_in_householdsin_family_householdsspouse,hh_in_householdsin_nonfamily_households,hh_in_householdsin_nonfamily_householdshouseholder,hh_in_householdsin_nonfamily_householdshouseholderfemale,hh_in_householdsin_nonfamily_householdshouseholderfemaleliving_alone,hh_in_householdsin_nonfamily_householdshouseholderfemalenot_living_alone,hh_in_householdsin_nonfamily_householdshouseholdermale,hh_in_householdsin_nonfamily_householdshouseholdermaleliving_alone,hh_in_householdsin_nonfamily_householdshouseholdermalenot_living_alone,hh_in_householdsin_nonfamily_householdsnonrelatives,hh_in_householdsin_nonfamily_householdsnonrelativesfoster_child,hh_in_householdsin_nonfamily_householdsnonrelativeshousemate_or_roommate,hh_in_householdsin_nonfamily_householdsnonrelativesother_nonrelatives,hh_in_householdsin_nonfamily_householdsnonrelativesroomer_or_boarder,hh_in_householdsin_nonfamily_householdsnonrelativesunmarried_partner,median_household_income,pov_ratio_100_124,pov_ratio_125_149,pov_ratio_150_174,pov_ratio_175_184,pov_ratio_185_199,pov_ratio_200_299,pov_ratio_300_399,pov_ratio_400_499,pov_ratio_50_74,pov_ratio_500_and_over,pov_ratio_75_99,pov_ratio_under_50,state,educ_less_than_hs,educ_hs_or_ged,educ_some_college,educ_bachelors,educ_graduate
NC,8,2015,281.93,280.75,264.27,294.48,267.07,281.46,263.43,,,,,281.33,268.37,,299.44,261.03,311.45,262.94,272.65,,274.13,292.21,37,0.0265103021536816,0.9734896978463184,0.8121520445780811,0.0106668683649384,0.2881237709011561,0.0069048156843891,0.2691133288711044,0.2562211828774745,0.1142885266148467,0.1419326562626277,0.0192166301606609,0.0005705919775203,0.0033200433513134,0.0049026149628343,0.0014407266111167,0.008982653257876,0.013753369984396,0.0093411512136088,0.1867923550829,0.1613376532682373,0.1287564058196859,0.0710565742930026,0.0615618699087591,0.0094947043842434,0.0576998315266832,0.0455622926462329,0.0121375388804502,0.0325812474485514,0.0001255778966323,0.0139748927096435,0.0043738822841914,0.0029368857096083,0.0111700088484755,46334.0,0.0432935094512974,0.0473284677672421,0.0473660756168496,0.0184990181520554,0.0277719815859028,0.1714966468356027,0.1428738382005169,0.1076769348227659,0.0353295418150761,0.2648094050357315,0.0406379100064378,0.0529166707105214,North Carolina,0.15061387117584732,0.27046286670052,0.3062324068175794,0.1801571530185133,0.09253370228753881
NC,8,2017,282.41,281.47,267.44,293.66,263.16,280.42,261.58,,,,,281.93,265.04,299.61,296.65,,309.53,258.4,271.86,,284.65,295.09,37,0.0265103021536816,0.9734896978463184,0.8121520445780811,0.0106668683649384,0.2881237709011561,0.0069048156843891,0.2691133288711044,0.2562211828774745,0.1142885266148467,0.1419326562626277,0.0192166301606609,0.0005705919775203,0.0033200433513134,0.0049026149628343,0.0014407266111167,0.008982653257876,0.013753369984396,0.0093411512136088,0.1867923550829,0.1613376532682373,0.1287564058196859,0.0710565742930026,0.0615618699087591,0.0094947043842434,0.0576998315266832,0.0455622926462329,0.0121375388804502,0.0325812474485514,0.0001255778966323,0.0139748927096435,0.0043738822841914,0.0029368857096083,0.0111700088484755,46334.0,0.0432935094512974,0.0473284677672421,0.0473660756168496,0.0184990181520554,0.0277719815859028,0.1714966468356027,0.1428738382005169,0.1076769348227659,0.0353295418150761,0.2648094050357315,0.0406379100064378,0.0529166707105214,North Carolina,0.15061387117584732,0.27046286670052,0.3062324068175794,0.1801571530185133,0.09253370228753881
NC,8,2019,285.98,281.4,269.45,293.04,266.35,287.3,263.02,,,,,283.66,268.31,,295.46,262.17,321.89,264.06,272.52,,286.21,294.88,37,0.0265103021536816,0.9734896978463184,0.8121520445780811,0.0106668683649384,0.2881237709011561,0.0069048156843891,0.2691133288711044,0.2562211828774745,0.1142885266148467,0.1419326562626277,0.0192166301606609,0.0005705919775203,0.0033200433513134,0.0049026149628343,0.0014407266111167,0.008982653257876,0.013753369984396,0.0093411512136088,0.1867923550829,0.1613376532682373,0.1287564058196859,0.0710565742930026,0.0615618699087591,0.0094947043842434,0.0576998315266832,0.0455622926462329,0.0121375388804502,0.0325812474485514,0.0001255778966323,0.0139748927096435,0.0043738822841914,0.0029368857096083,0.0111700088484755,46334.0,0.0432935094512974,0.0473284677672421,0.0473660756168496,0.0184990181520554,0.0277719815859028,0.1714966468356027,0.1428738382005169,0.1076769348227659,0.0353295418150761,0.2648094050357315,0.0406379100064378,0.0529166707105214,North Carolina,0.15061387117584732,0.27046286670052,0.3062324068175794,0.1801571530185133,0.09253370228753881
ND,4,2013,245.95,246.87,,,,,,,,,,246.42,235.71,,252.01,224.75,250.15,239.35,237.34,,,249.27,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,4,2015,243.42,245.89,,,,,,,,,,244.71,232.05,,251.02,224.83,,230.66,224.33,,,248.71,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,4,2017,242.75,245.63,,,,,,,,,,244.24,232.6,,250.39,224.84,,229.42,230.52,,239.36,248.08,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,4,2019,241.69,244.14,,,,,,,,,,242.93,230.94,,248.74,228.3,,229.56,227.4,,,246.77,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,8,2013,290.22,290.8,269.74,297.39,273.93,290.44,272.68,,,,,290.52,275.77,,296.79,264.78,,271.56,,,,294.32,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,8,2015,288.17,288.32,266.14,295.74,273.88,286.0,267.06,,,,,288.24,271.25,,295.74,259.67,,263.28,276.06,,,293.09,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,8,2017,288.2,288.14,266.35,296.05,272.61,282.38,264.73,,,,,288.17,269.17,,296.42,261.89,,251.94,270.07,,,294.04,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
ND,8,2019,285.77,285.37,258.71,293.76,268.39,285.79,260.23,,,,,285.56,268.35,,294.08,264.08,,253.94,275.96,,,291.72,38,0.0373074932478569,0.962692506752143,0.7590380135144343,0.0059163705581916,0.2553477118099803,0.0065586033828128,0.2386685049312752,0.2546286430040839,0.1026978127840575,0.1519308302200263,0.0164747941738029,0.0006828254185023,0.0022369418699558,0.0035634498485751,0.0004436190617021,0.0095479579750674,0.0049769419569399,0.0033242434917749,0.2061030964900453,0.2036544932377088,0.1618368728625462,0.0777942564379129,0.0645639703036181,0.0132302861342947,0.0840426164246333,0.0651815576248113,0.0188610587998219,0.0418176203751625,0.0001130793686691,0.0186044556170726,0.0044289419395431,0.0020093333971216,0.0166618100527558,53741.0,0.0279893872624375,0.0312005374691126,0.0341327047677609,0.0140402418611006,0.0228879855156628,0.161468474931393,0.1653742356437673,0.1403682574385953,0.018731709538938,0.3310900830116489,0.0218403762283788,0.0308760063312039,North Dakota,0.0914949969917562,0.2712858186306832,0.36516298906153905,0.1964260738096348,0.07563012150638601
